,prompt,temperature,top_p,max_tokens,last_attempt,first_attempt,prints,__index_level_0__,problem,entrypoint,assertions,username,submitted_text,total_tests,completion
10,"def fib(n):
    """"""
    Check inputted number against the set of Fibonacci numbers. If the number is in the set, return True, otherwise, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1045,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check inputted number against the set of Fibonacci numbers. If the number is in the set, return True, otherwise, return False.",4,"import math

def is_perfect_square(x):
    s = int(math.isqrt(x))
    return s * s == x


    if n < 0:
        return False
    # Check the two conditions for Fibonacci numbers
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(8))   # True
print(fib(10))  # False
print(fib(13))  # True"
11,"def fib(n):
    """"""
    Check if inputted number is in the set of Fibonacci numbers. If the number is in the set, return True, otherwise, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1046,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is in the set of Fibonacci numbers. If the number is in the set, return True, otherwise, return False.",4,"import math

def is_perfect_square(x):
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # True
print(fib(6))  # False"
12,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True, otherwise, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1047,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True, otherwise, return False.",4,"import math

def is_perfect_square(x):
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(8))  # True
print(fib(10)) # False"
13,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True, otherwise, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1048,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True, otherwise, return False.",4,"import math

def is_perfect_square(x):
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(8))  # True
print(fib(10)) # False"
14,"def subtract_add(lst):
    """"""
    given an array of characters containing integers, convert the characters into integers. Store the first number in the array in a count variable. then subtract the next number from the count. With the next number, add it to the count and then alternate between subtracting and adding until you get to the end of the array. return the count

    """"""
    ",0.2,0.95,1024,True,False,"print( subtract_add(['1', '2', '3', '4']) )
print( subtract_add(['0', '2']) )
print( subtract_add(['0', '0']) )
print( subtract_add([ ]) )
",105,subtract_add,subtract_add,"assert subtract_add(['1', '2', '3', '4']) == -2
assert subtract_add(['0', '2']) == -2
assert subtract_add(['0', '0']) == 0
assert subtract_add([ ]) == 0",student68,"given an array of characters containing integers, convert the characters into integers. Store the first number in the array in a count variable. then subtract the next number from the count. With the next number, add it to the count and then alternate between subtracting and adding until you get to the end of the array. return the count
",4,"if not lst:
        return 0  # Return 0 if the list is empty

    # Convert characters to integers
    numbers = [int(char) for char in lst]

    # Initialize count with the first number
    count = numbers[0]

    # Iterate through the rest of the numbers, starting from the second number
    for i in range(1, len(numbers)):
        if i % 2 == 1:  # Odd index: subtract
            count -= numbers[i]
        else:           # Even index: add
            count += numbers[i]

    return count"
15,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1049,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.",4,"import math

def is_perfect_square(x):
    """"""Check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False  # Negative numbers cannot be Fibonacci numbers
    # Check the two conditions
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(8))   # True
print(fib(10))  # False
print(fib(13))  # True
print(fib(21))  # True
print(fib(22))  # False"
16,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1050,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.",4,"import math

def is_perfect_square(x):
    """"""Check if x is a perfect square.""""""
    s = int(math.isqrt(x))
    return s * s == x


    if n < 0:
        return False  # Fibonacci numbers are non-negative
    
    # Check the two conditions
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
17,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1051,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.",4,"import math

def is_perfect_square(x):
    """"""Check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False  # Fibonacci numbers are non-negative

    # Check the two conditions
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
18,"def fib(n):
    """"""
    Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1052,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Check if inputted number is a Fibonacci number. If it is, return True. If it is not a Fibonacci number, return False.",4,"import math

def is_perfect_square(x):
    """"""Check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False
    # Check the two conditions for Fibonacci numbers
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
19,"def fib(n):
    """"""
    Put all possible Fibonacci numbers in a set. Check if the inputted number is in that set. If it is, return True. If it is not in the set, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1053,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"Put all possible Fibonacci numbers in a set. Check if the inputted number is in that set. If it is, return True. If it is not in the set, return False.",4,"# Initialize the set and the first two Fibonacci numbers
    fib_set = set()
    a, b = 0, 1
    
    # Generate Fibonacci numbers until the maximum number exceeds n
    while a <= n:
        fib_set.add(a)
        a, b = b, a + b  # Update to the next Fibonacci numbers
    
    # Check if n is in the set of Fibonacci numbers
    return n in fib_set"
20,"def fib(n):
    """"""
    The function checks if the inputted number is a Fibonacci number and if it is, returns True. Else, it returns False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1054,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student13,"The function checks if the inputted number is a Fibonacci number and if it is, returns True. Else, it returns False.",4,"import math

def is_perfect_square(x):
    """"""Helper function to check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False  # Fibonacci numbers are non-negative

    # Check the two conditions for Fibonacci numbers
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
21,"def fib(n):
    """"""
    check if a number doesn't have 9
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1055,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student16,check if a number doesn't have 9,4,"return '9' not in str(n)

# Example usage:
print(fib(123))  # Output: True
print(fib(919))  # Output: False
print(fib(456))  # Output: True
print(fib(789))  # Output: False"
22,"def fib(n):
    """"""
    check if a number doesn't have 9, return true or false
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1056,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student16,"check if a number doesn't have 9, return true or false",4,"# Convert the number to a string and check if '9' is in it
    return '9' not in str(n)

# Example usage:
print(fib(123))  # Output: True
print(fib(9))    # Output: False
print(fib(456))  # Output: True
print(fib(789))  # Output: False"
23,"def fib(n):
    """"""
    write a function that checks to see if a number is part of the fibonacci sequence 
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1057,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student22,write a function that checks to see if a number is part of the fibonacci sequence ,4,"import math

def is_perfect_square(x):
    """"""Helper function to check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False  # Fibonacci numbers are non-negative
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
24,"def fib(n):
    """"""
    check to see if the number is part of the list ['1','13','21'] and return a boolean value 
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1058,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student22,"check to see if the number is part of the list ['1','13','21'] and return a boolean value ",4,"# Convert n to string for comparison
    return str(n) in ['1', '13', '21']"
25,"def subtract_add(lst):
    """"""
    if there are no values stored in the given array, return 0. Else, given an array of characters containing integers, convert the characters into integers. Store the first number in the array in a count variable. then subtract the next number from the count. With the next number, add it to the count and then alternate between subtracting and adding until you get to the end of the array. return the count

    """"""
    ",0.2,0.95,1024,True,False,"print( subtract_add(['1', '2', '3', '4']) )
print( subtract_add(['0', '2']) )
print( subtract_add(['0', '0']) )
print( subtract_add([ ]) )
",106,subtract_add,subtract_add,"assert subtract_add(['1', '2', '3', '4']) == -2
assert subtract_add(['0', '2']) == -2
assert subtract_add(['0', '0']) == 0
assert subtract_add([ ]) == 0",student68,"if there are no values stored in the given array, return 0. Else, given an array of characters containing integers, convert the characters into integers. Store the first number in the array in a count variable. then subtract the next number from the count. With the next number, add it to the count and then alternate between subtracting and adding until you get to the end of the array. return the count
",4,"if not lst:  # Check if the list is empty
        return 0
    
    # Convert characters to integers
    numbers = [int(num) for num in lst]
    
    # Initialize count with the first number
    count = numbers[0]
    
    # Iterate through the remaining numbers, alternating between subtracting and adding
    for i in range(1, len(numbers)):
        if i % 2 == 1:  # Odd index: subtract
            count -= numbers[i]
        else:           # Even index: add
            count += numbers[i]
    
    return count"
26,"def fib(n):
    """"""
    check to see if the number is part of the list [1,13,21] and return a boolean value 
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1059,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student22,"check to see if the number is part of the list [1,13,21] and return a boolean value ",4,"return n in [1, 13, 21]"
27,"def fib(n):
    """"""
    Write a function which takes an integer and returns True if the integer is contained on the list of numbers in the fibonacci sequence and False if it is not
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1060,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student37,Write a function which takes an integer and returns True if the integer is contained on the list of numbers in the fibonacci sequence and False if it is not,4,"if n < 0:
        return False  # Fibonacci numbers are non-negative

    # Initialize the first two Fibonacci numbers
    a, b = 0, 1
    
    # Generate Fibonacci numbers until we reach or exceed n
    while a < n:
        a, b = b, a + b
    
    # Check if we have found n in the sequence
    return a == n

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
28,"def fib(n):
    """"""
    Write a function which takes an integer and then uses a for loop to produce numbers in the fibonacci sequence stored in the variable x. At the end of each loop, if x equals the input integer, return True, if x is greater than the input integer, return False
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1061,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student37,"Write a function which takes an integer and then uses a for loop to produce numbers in the fibonacci sequence stored in the variable x. At the end of each loop, if x equals the input integer, return True, if x is greater than the input integer, return False",4,"a, b = 0, 1  # Starting values for Fibonacci sequence
    for _ in range(n + 1):  # Looping n times (or more if needed)
        x = a  # Current Fibonacci number
        if x == n:
            return True
        elif x > n:
            return False
        a, b = b, a + b  # Update to the next Fibonacci number
    return False  # In case n is less than the first Fibonacci number (0)"
29,"def fib(n):
    """"""
    Return True if the number is an integer in the Fibonnaci sequence. Else, return False.
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1062,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student72,"Return True if the number is an integer in the Fibonnaci sequence. Else, return False.",4,"import math

def is_perfect_square(x):
    """"""Check if x is a perfect square.""""""
    s = int(math.sqrt(x))
    return s * s == x


    if n < 0:
        return False
    # Check the two conditions for Fibonacci numbers
    return is_perfect_square(5 * n * n + 4) or is_perfect_square(5 * n * n - 4)

# Example usage:
print(fib(5))  # True
print(fib(4))  # False
print(fib(13)) # True
print(fib(21)) # True
print(fib(22)) # False"
30,"def fib(n):
    """"""
    if the number is [1, 13, 21] the output should be True, but if it is any other number, the output is false
    """"""
    ",0.2,0.95,1024,True,False,"print( fib(1) )
print( fib(13) )
print( fib(21) )
print( fib(19) )
",1063,fib,fib,"assert fib(1) == True
assert fib(13) == True
assert fib(21) == True
assert fib(19) == False",student73,"if the number is [1, 13, 21] the output should be True, but if it is any other number, the output is false",4,"return n in [1, 13, 21]"
31,"def add_word(word, line_number, map):
    """"""
    takes in a string, an integer, and a dictionary.
returns the dictionary that adds the string as a key and integer as the value
    """"""
    ",0.2,0.95,1024,True,False,"print( add_word('bright', 1, {'twas': [1]}) )
print( add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) )
print( add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) )
",1065,add_word,add_word,"assert add_word('bright', 1, {'twas': [1]}) == {'twas': [1], 'bright': [1]}
assert add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) == {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5, 5]}
assert add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) == {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6], 'laughing': [7]}",student0,"takes in a string, an integer, and a dictionary.
returns the dictionary that adds the string as a key and integer as the value",3,"map[word] = line_number
    return map"
32,"def add_word(word, line_number, map):
    """"""
    create a function with 3 input word(string), line_number (int) and map (dict). In map dictionary add new element of dictionary with key are word which given the corresponding list of line number
    """"""
    ",0.2,0.95,1024,True,False,"print( add_word('bright', 1, {'twas': [1]}) )
print( add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) )
print( add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) )
",1066,add_word,add_word,"assert add_word('bright', 1, {'twas': [1]}) == {'twas': [1], 'bright': [1]}
assert add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) == {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5, 5]}
assert add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) == {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6], 'laughing': [7]}",student3,"create a function with 3 input word(string), line_number (int) and map (dict). In map dictionary add new element of dictionary with key are word which given the corresponding list of line number",3,"if word in map:
        # If the word already exists, append the line number to the list
        map[word].append(line_number)
    else:
        # If the word does not exist, create a new entry with the line number in a list
        map[word] = [line_number]"
33,"def add_word(word, line_number, map):
    """"""
    create a function with 3 input word(string), line_number (int) and map (dict). add new key name word and its corresponding list of line_number into the map
    """"""
    ",0.2,0.95,1024,True,False,"print( add_word('bright', 1, {'twas': [1]}) )
print( add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) )
print( add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) )
",1067,add_word,add_word,"assert add_word('bright', 1, {'twas': [1]}) == {'twas': [1], 'bright': [1]}
assert add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) == {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5, 5]}
assert add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) == {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6], 'laughing': [7]}",student3,"create a function with 3 input word(string), line_number (int) and map (dict). add new key name word and its corresponding list of line_number into the map",3,"if word in map:
        # If the word already exists, append the line_number to the list
        map[word].append(line_number)
    else:
        # If the word does not exist, create a new entry with a list containing line_number
        map[word] = [line_number]

# Example usage:
word_map = {}
add_word(""example"", 1, word_map)
add_word(""example"", 2, word_map)
add_word(""test"", 1, word_map)

print(word_map)  # Output: {'example': [1, 2], 'test': [1]}"
34,"def add_word(word, line_number, map):
    """"""
    create a function with 3 input word(string), line_number (int) and map (dict). In map dictionary create new key word
    """"""
    ",0.2,0.95,1024,True,False,"print( add_word('bright', 1, {'twas': [1]}) )
print( add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) )
print( add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) )
",1068,add_word,add_word,"assert add_word('bright', 1, {'twas': [1]}) == {'twas': [1], 'bright': [1]}
assert add_word('five', 5, {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5]}) == {'one': [1], 'three': [3, 3, 3, 5], 'five': [3, 5, 5, 5, 5, 5]}
assert add_word('laughing', 7, {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6]}) == {'i': [1, 6], 'heard': [1], 'a': [1, 4], 'asked': [6], 'laughing': [7]}",student3,"create a function with 3 input word(string), line_number (int) and map (dict). In map dictionary create new key word",3,"if word in map:
        # If the word already exists, append the line_number to the list
        map[word].append(line_number)
    else:
        # If the word does not exist, create a new entry with the line_number in a list
        map[word] = [line_number]

# Example usage:
word_map = {}
add_word(""example"", 1, word_map)
add_word(""example"", 2, word_map)
add_word(""test"", 1, word_map)

print(word_map)  # Output: {'example': [1, 2], 'test': [1]}"
