Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_skip_skip,0.5500,0.5812,8,0.0312
generations_all.prompts.full.label.d2c1570_string_character,0.5896,0.5063,159,-0.0833
generations_all.prompts.full.label.d2c1570_string_phrase,0.5896,0.5447,159,-0.0450
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.5896,0.4572,159,-0.1324
generations_all.prompts.full.label.d2c1570_string_string,0.4238,0.4214,21,-0.0024
generations_all.prompts.full.label.d2c1570_string_word,0.6057,0.5658,149,-0.0399
generations_all.prompts.full.label.d2c1570_take_accept,0.6464,0.6571,98,0.0107
generations_all.prompts.full.label.d2c1570_take_bring_in,0.6531,0.6469,97,-0.0062
generations_all.prompts.full.label.d2c1570_take_get,0.6505,0.6632,91,0.0126
generations_all.prompts.full.label.d2c1570_take_input,0.6432,0.6526,96,0.0094
generations_all.prompts.full.label.d2c1570_take_take,0.5585,0.5404,47,-0.0181
generations_all.prompts.full.label.d2c1570_typecast_cast,0.4500,0.4500,16,0.0000
generations_all.prompts.full.label.d2c1570_typecast_change,0.5143,0.5714,14,0.0571
generations_all.prompts.full.label.d2c1570_typecast_convert,0.4688,0.4187,8,-0.0500
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.4656,0.4875,16,0.0219
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.5125,0.5437,16,0.0312
