Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_return.return,0.5284,0.5707,37,0.0423
generations_all.prompts.full.label.d2c1570_skip.avoid,0.4938,0.4375,8,-0.0563
generations_all.prompts.full.label.d2c1570_skip.ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip.neglect,0.4938,0.4888,8,-0.0050
generations_all.prompts.full.label.d2c1570_skip.remove,0.4938,0.3213,8,-0.1725
generations_all.prompts.full.label.d2c1570_skip.skip,0.4938,0.4856,8,-0.0081
generations_all.prompts.full.label.d2c1570_string.character,0.5305,0.4097,159,-0.1208
generations_all.prompts.full.label.d2c1570_string.phrase,0.5305,0.4555,159,-0.0750
generations_all.prompts.full.label.d2c1570_string.set_of_characters,0.5305,0.3765,159,-0.1540
generations_all.prompts.full.label.d2c1570_string.string,0.4571,0.4890,21,0.0319
generations_all.prompts.full.label.d2c1570_string.word,0.5423,0.4738,149,-0.0685
generations_all.prompts.full.label.d2c1570_take.accept,0.5781,0.5843,98,0.0063
generations_all.prompts.full.label.d2c1570_take.bring_in,0.5835,0.6032,97,0.0197
generations_all.prompts.full.label.d2c1570_take.get,0.5813,0.6015,91,0.0202
generations_all.prompts.full.label.d2c1570_take.input,0.5885,0.5852,96,-0.0033
generations_all.prompts.full.label.d2c1570_take.take,0.4809,0.4870,47,0.0062
generations_all.prompts.full.label.d2c1570_typecast.cast,0.4187,0.3241,16,-0.0947
generations_all.prompts.full.label.d2c1570_typecast.change,0.5357,0.4686,14,-0.0671
generations_all.prompts.full.label.d2c1570_typecast.convert,0.2500,0.3094,8,0.0594
generations_all.prompts.full.label.d2c1570_typecast.type_cast,0.4375,0.4194,16,-0.0181
generations_all.prompts.full.label.d2c1570_typecast.typecast,0.4688,0.4181,16,-0.0506
