Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_list_list,0.2167,0.2187,75,0.0020
generations_all.prompts.full.label.d2c1570_list_set,0.2862,0.1721,578,-0.1142
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.2858,0.1655,579,-0.1202
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.2889,0.2714,63,-0.0175
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.2775,0.2608,60,-0.0167
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.3030,0.2980,50,-0.0050
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.2811,0.2828,61,0.0016
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.3000,0.2991,56,-0.0009
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.2889,0.2841,63,-0.0048
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.2862,0.2784,58,-0.0078
generations_all.prompts.full.label.d2c1570_parameter_argument,0.2599,0.2488,207,-0.0111
generations_all.prompts.full.label.d2c1570_parameter_input,0.2973,0.2877,73,-0.0096
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.2525,0.2385,178,-0.0140
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.2668,0.2514,208,-0.0154
generations_all.prompts.full.label.d2c1570_provide_enter,0.1818,0.2091,11,0.0273
generations_all.prompts.full.label.d2c1570_provide_input,0.2067,0.2067,15,0.0000
generations_all.prompts.full.label.d2c1570_provide_provide,0.2125,0.2604,24,0.0479
generations_all.prompts.full.label.d2c1570_return_display,0.3042,0.2027,571,-0.1015
generations_all.prompts.full.label.d2c1570_return_output,0.3087,0.2770,504,-0.0317
generations_all.prompts.full.label.d2c1570_return_print,0.3237,0.1444,534,-0.1793
generations_all.prompts.full.label.d2c1570_return_produce,0.3012,0.2785,563,-0.0227
generations_all.prompts.full.label.d2c1570_return_return,0.1888,0.2224,143,0.0336
generations_all.prompts.full.label.d2c1570_skip_avoid,0.2194,0.2000,18,-0.0194
generations_all.prompts.full.label.d2c1570_skip_ignore,0.0000,0.0000,5,0.0000
generations_all.prompts.full.label.d2c1570_skip_neglect,0.2079,0.2132,19,0.0053
generations_all.prompts.full.label.d2c1570_skip_remove,0.2079,0.1184,19,-0.0895
generations_all.prompts.full.label.d2c1570_skip_skip,0.2079,0.1868,19,-0.0211
generations_all.prompts.full.label.d2c1570_string_character,0.2795,0.2088,368,-0.0707
generations_all.prompts.full.label.d2c1570_string_phrase,0.2810,0.2421,366,-0.0389
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.2795,0.1982,368,-0.0813
generations_all.prompts.full.label.d2c1570_string_string,0.2420,0.2591,44,0.0170
generations_all.prompts.full.label.d2c1570_string_word,0.2818,0.2503,349,-0.0315
generations_all.prompts.full.label.d2c1570_take_accept,0.2882,0.2857,237,-0.0025
generations_all.prompts.full.label.d2c1570_take_bring_in,0.2892,0.2947,236,0.0055
generations_all.prompts.full.label.d2c1570_take_get,0.2838,0.2927,225,0.0089
generations_all.prompts.full.label.d2c1570_take_input,0.2952,0.2989,230,0.0037
generations_all.prompts.full.label.d2c1570_take_take,0.2419,0.2346,117,-0.0073
generations_all.prompts.full.label.d2c1570_typecast_cast,0.1958,0.1625,36,-0.0333
generations_all.prompts.full.label.d2c1570_typecast_change,0.2243,0.1857,35,-0.0386
generations_all.prompts.full.label.d2c1570_typecast_convert,0.1607,0.1929,14,0.0321
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.2042,0.2000,36,-0.0042
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.2122,0.1919,37,-0.0203
