,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
180,sort_physicists,"[1, 2, 3, 4, 5, 6]",student36,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
182,sort_physicists,"[1, 2, 3, 4, 5, 6]",student43,success,"[1, 3, 4, 5, 6]",False,False,False,False,False,False,True,True,False
183,sort_physicists,"[1, 2, 3, 4, 5, 6]",student54,success,"[1, 3, 4, 6]",False,False,False,False,False,False,True,True,False
184,sort_physicists,"[1, 2, 3, 4, 5, 6]",student57,success,"[1, 3, 4, 5, 6]",True,True,False,False,False,False,True,True,False
185,sort_physicists,"[1, 2, 3, 4, 5, 6]",student77,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
186,reverseWords,"[1, 2, 3, 4, 5]",student1,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
187,reverseWords,"[1, 2, 3, 4, 5]",student6,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
188,reverseWords,"[1, 2, 3, 4, 5]",student7,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
189,reverseWords,"[1, 2, 3, 4, 5]",student39,success,"[1, 2, 3, 4]",True,False,False,True,False,False,True,True,False
191,reverseWords,"[1, 2, 3, 4, 5]",student55,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
193,planets_mass,"[1, 2, 3, 4, 5, 6]",student14,success,"[3, 6]",True,False,False,True,False,True,True,True,False
195,planets_mass,"[1, 2, 3, 4, 5, 6]",student46,success,"[1, 2, 3, 4, 5, 6]",True,False,True,False,True,False,False,True,False
197,planets_mass,"[1, 2, 3, 4, 5, 6]",student53,success,"[2, 3, 4, 5, 6]",True,False,False,True,False,False,True,True,False
198,planets_mass,"[1, 2, 3, 4, 5, 6]",student55,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
200,planets_mass,"[1, 2, 3, 4, 5, 6]",student65,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
202,increaseScore,"[1, 2, 3, 4, 5, 6]",student33,success,"[1, 2, 3, 4, 6]",True,False,False,True,False,False,True,True,False
204,increaseScore,"[1, 2, 3, 4, 5, 6]",student50,success,"[1, 2, 3]",False,False,False,False,False,True,True,True,False
205,increaseScore,"[1, 2, 3, 4, 5, 6]",student59,success,"[1, 3, 4, 5, 6]",False,False,False,False,False,False,True,True,False
207,add_up,"[1, 2, 3, 4, 5, 6]",student7,success,"[1, 2, 3, 4, 5]",False,False,False,False,False,False,True,True,False
220,add_up,"[1, 2, 3, 4, 5, 6]",student65,success,"[1, 2, 3, 4, 5]",False,False,False,False,False,False,True,True,False
222,check_prime,"[1, 2, 3, 4]",student32,success,"[1, 2, 3]",False,False,False,False,False,False,True,True,False
224,check_prime,"[1, 2, 3, 4]",student49,success,"[1, 2, 3]",True,False,False,True,False,False,True,True,False
225,check_prime,"[1, 2, 3, 4]",student66,success,"[1, 2, 3]",True,False,False,True,False,False,True,True,False
226,check_prime,"[1, 2, 3, 4]",student67,success,"[1, 2, 3]",False,False,False,False,False,False,True,True,False
228,check_prime,"[1, 2, 3, 4]",student70,success,"[1, 3]",True,False,False,True,False,True,True,True,False
229,sortedBooks,"[1, 2, 3, 4, 5, 6]",student27,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
230,sortedBooks,"[1, 2, 3, 4, 5, 6]",student29,success,"[2, 3, 4, 5, 6, 1]",False,False,False,False,True,False,False,True,False
232,sortedBooks,"[1, 2, 3, 4, 5, 6]",student49,success,"[1, 2, 3, 4, 5, 6]",True,False,True,False,True,False,False,True,False
236,sortedBooks,"[1, 2, 3, 4, 5, 6]",student68,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
237,sortedBooks,"[1, 2, 3, 4, 5, 6]",student70,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
262,assessVowels,"[1, 2, 3, 4]",student5,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
263,assessVowels,"[1, 2, 3, 4]",student13,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
264,assessVowels,"[1, 2, 3, 4]",student16,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
265,assessVowels,"[1, 2, 3, 4]",student22,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
266,assessVowels,"[1, 2, 3, 4]",student37,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
267,assessVowels,"[1, 2, 3, 4]",student72,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
268,assessVowels,"[1, 2, 3, 4]",student74,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
269,add_int,"[1, 2, 3, 4]",student19,success,"[2, 3, 4]",False,False,False,False,False,False,True,True,False
270,add_int,"[1, 2, 3, 4]",student36,success,"[2, 3, 4]",True,False,False,True,False,False,True,True,False
272,add_int,"[1, 2, 3, 4]",student42,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
273,add_int,"[1, 2, 3, 4]",student54,success,"[2, 3, 4]",True,False,True,False,False,False,True,True,False
274,add_int,"[1, 2, 3, 4]",student77,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
275,create_list,"[1, 2, 3, 4, 5]",student20,success,"[2, 3, 4, 1, 5]",False,False,False,False,True,False,False,True,False
276,create_list,"[1, 2, 3, 4, 5]",student36,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
277,create_list,"[1, 2, 3, 4, 5]",student42,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
278,create_list,"[1, 2, 3, 4, 5]",student43,success,"[2, 4, 5]",True,True,False,False,False,False,True,True,False
279,create_list,"[1, 2, 3, 4, 5]",student54,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
280,create_list,"[1, 2, 3, 4, 5]",student57,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
282,getSeason,"[1, 2, 3, 4]",student7,success,"[2, 3, 4, 1]",False,False,False,False,True,False,False,True,False
287,getSeason,"[1, 2, 3, 4]",student46,success,"[1, 2, 3]",True,False,False,True,False,False,True,True,False
288,getSeason,"[1, 2, 3, 4]",student47,success,"[2, 3, 4, 1]",True,False,False,True,True,False,False,True,False
289,getSeason,"[1, 2, 3, 4]",student65,success,"[1, 2, 3]",False,False,False,False,False,False,True,True,False
