,problem,username,cycle_list,is_success,cycle_num_edges,has_cycle,has_long_cycle,not_has_cycle,cycle_num_edits_with_missing_clues,cycle_num_rewrite_edits,cycle_num_trivial_edits,cycle_clues,cycle_edits,has_breakout_edge,breakout_edge_tags,has_0_breakout_edge,has_m_breakout_edge,has_a_breakout_edge,has_l_breakout_edge,has_d_breakout_edge,cycle_has_only_trivial_edits,cycle_has_only_rewrite_edits,has_substantial_edits,has_missing_clues,not_has_missing_clues
26,pattern,student41,"[(1, 1)]",True,1,True,False,False,1,1,0,"[{2, 3, 4, 5}]",[['m4']],True,['m4'],False,True,False,False,False,False,True,False,True,False
27,total_bill,student23,"[(2, 6), (6, 2)]",False,2,True,False,False,2,2,1,"[{1, 2, 3, 5, 6, 8}, {1, 2, 3, 5, 6, 8}]","[[0], ['m2']]",True,"['a4', 'd5']",False,False,True,False,True,False,True,False,True,False
33,total_bill,student59,"[(8, 4), (4, 8)]",False,2,True,False,False,2,2,1,"[{1, 2, 3, 4, 5, 6, 8}, {1, 2, 3, 4, 5, 6, 8}]","[['m6'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
36,total_bill,student64,"[(9, 9)]",True,1,True,False,False,1,1,1,"[{2, 4, 5, 6}]",[[0]],True,['m4'],False,True,False,False,False,True,True,False,True,False
37,total_bill,student69,"[(3, 3), (3, 3)]",False,2,True,False,False,2,2,0,"[{1, 2, 4, 5, 6}, {1, 2, 4, 5, 6}]","[['l2'], ['m4']]",False,[],False,False,False,False,False,False,True,False,True,False
40,translate,student23,"[(3, 3)]",False,1,True,False,False,1,1,1,"[{1, 2, 4}]",[[0]],False,[],False,False,False,False,False,True,True,False,True,False
43,translate,student60,"[(8, 8)]",True,1,True,False,False,1,1,1,"[{1, 2, 4, 5}]",[[0]],True,['a6'],False,False,True,False,False,True,True,False,True,False
44,translate,student64,"[(5, 5), (5, 5)]",False,2,True,False,False,2,2,0,"[{4, 5}, {4, 5}]","[['m4'], ['m4']]",False,[],False,False,False,False,False,False,True,False,True,False
45,translate,student69,"[(2, 2)]",False,1,True,False,False,1,1,0,"[{2, 3, 4}]",[['m4']],False,[],False,False,False,False,False,False,True,False,True,False
46,translate,student75,"[(2, 1), (1, 2)]",False,2,True,False,False,2,2,2,"[{2, 4, 6}, {2, 4, 6}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
47,student_grades,student11,"[(7, 7), (7, 7)]",False,2,True,False,False,2,2,1,"[{2}, {2}]","[['m2'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
54,convert,student17,"[(42, 22), (22, 42)]",True,2,True,False,False,2,1,0,"[{2, 3, 4}, {2, 3, 4}]","[['a3'], ['m3']]",True,['m4'],False,True,False,False,False,False,False,True,True,False
55,convert,student21,"[(0, 40), (40, 34), (34, 0)]",True,3,True,False,False,3,3,2,"[{2, 3, 4, 5}, {2, 3, 4, 5}, {2, 3, 4, 5}]","[[0], [0], ['m4']]",True,['m4'],False,True,False,False,False,False,True,False,True,False
56,convert,student25,"[(32, 32)]",False,1,True,False,False,1,1,0,"[{2, 4}]",[['l4']],False,[],False,False,False,False,False,False,True,False,True,False
57,convert,student26,"[(20, 20)]",False,1,True,False,False,1,1,0,[{2}],[['m2']],False,[],False,False,False,False,False,False,True,False,True,False
58,convert,student3,"[(10, 16), (16, 10)]",False,2,True,False,False,2,0,0,"[set(), {2}]","[['d1', 'd2'], ['a2']]",True,[0],True,False,False,False,False,False,False,True,True,False
59,convert,student30,"[(28, 28)]",False,1,True,False,False,1,1,1,"[{2, 4}]",[[0]],True,"['a3', 'm4']",False,False,True,False,False,True,True,False,True,False
60,convert,student4,"[(34, 34)]",False,1,True,False,False,1,1,0,"[{2, 4}]",[['l2']],True,['m2'],False,True,False,False,False,False,True,False,True,False
61,convert,student41,"[(0, 0)]",False,1,True,False,False,1,1,0,"[{2, 3, 4}]",[['m4']],False,[],False,False,False,False,False,False,True,False,True,False
63,sortBySuccessRate,student23,"[(1, 1)]",False,1,True,False,False,1,1,0,"[{1, 2, 3, 5}]",[['m5']],True,['m1'],False,True,False,False,False,False,True,False,True,False
67,sortBySuccessRate,student44,"[(17, 17)]",False,1,True,False,False,1,1,1,"[{2, 3, 5}]",[[0]],False,[],False,False,False,False,False,True,True,False,True,False
69,sortBySuccessRate,student59,"[(16, 16)]",False,1,True,False,False,1,1,1,"[{1, 6}]",[[0]],False,[],False,False,False,False,False,True,True,False,True,False
74,sortBySuccessRate,student75,"[(3, 12), (12, 22), (22, 3)]",False,3,True,False,False,3,3,3,"[{1}, {1}, {1}]","[[0], [0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
75,sortBySuccessRate,student79,"[(11, 11)]",False,1,True,False,False,0,1,1,"[{1, 2, 3, 4, 5, 6}]",[[0]],False,[],False,False,False,False,False,True,True,False,False,True
78,laugh,student2,"[(23, 10), (10, 17), (17, 23)]",False,3,True,False,False,2,0,0,"[{1, 3, 5, 6}, {1, 2, 3, 4, 5, 6}, {1, 3, 5, 6}]","[['m3', 'a5', 'a6'], ['a2', 'm3', 'a4', 'm5', 'm6'], ['l3', 'd2', 'd4']]",True,['d5'],False,False,False,False,True,False,False,True,False,True
79,laugh,student22,"[(5, 5)]",False,1,True,False,False,1,1,1,[{3}],[[0]],True,['d3'],False,False,False,False,True,True,True,False,True,False
81,laugh,student5,"[(2, 2)]",False,1,True,False,False,1,1,0,"[{1, 4, 6}]",[['m4']],False,[],False,False,False,False,False,False,True,False,True,False
82,laugh,student72,"[(12, 25), (25, 12), (12, 25)]",False,3,True,False,False,3,1,1,"[{1, 2, 3, 5, 6}, {1, 2, 3, 6}, {1, 2, 3, 5, 6}]","[[0], ['d5'], ['a5']]",False,[],False,False,False,False,False,False,False,True,True,False
83,laugh,student8,"[(15, 30), (30, 15)]",False,2,True,False,False,2,1,0,"[{1, 2, 4, 5, 6}, {1, 2, 4, 5, 6}]","[['a5'], ['l5']]",True,[0],True,False,False,False,False,False,False,True,True,False
84,times_with,student23,"[(4, 4), (4, 4), (4, 4)]",False,3,True,False,False,3,3,1,"[{1, 2, 3, 4}, {1, 2, 3, 4}, {1, 2, 3, 4}]","[['m3'], ['m2'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
86,times_with,student40,"[(4, 4), (4, 4)]",False,2,True,False,False,2,1,1,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['a2'], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
87,times_with,student50,"[(5, 5)]",False,1,True,False,False,1,1,1,"[{3, 4}]",[[0]],True,['m4'],False,True,False,False,False,True,True,False,True,False
88,times_with,student59,"[(4, 4)]",False,1,True,False,False,1,0,0,"[{1, 2, 3, 5}]",[['a5']],True,['m2'],False,True,False,False,False,False,False,True,True,False
94,times_with,student79,"[(1, 1), (1, 1), (1, 1)]",False,3,True,False,False,3,3,0,"[{1, 2, 3, 5}, {1, 2, 3, 5}, {1, 2, 3, 5}]","[['l5'], ['m2'], ['m3']]",False,[],False,False,False,False,False,False,True,False,True,False
96,readingIceCream,student29,"[(7, 7), (7, 7), (7, 7)]",False,3,True,False,False,3,3,0,"[{2, 3, 4, 5, 6, 7}, {2, 3, 4, 5, 6, 7}, {2, 3, 4, 5, 6, 7}]","[['m2'], ['m2'], ['m3']]",False,[],False,False,False,False,False,False,True,False,True,False
98,readingIceCream,student34,"[(7, 16), (16, 8), (8, 7)]",False,3,True,False,False,3,1,0,"[{4, 6}, {3, 4, 5, 6}, {3, 4, 5, 6}]","[['m4', 'd5'], ['a3', 'm5'], ['l3']]",False,[],False,False,False,False,False,False,False,True,True,False
99,readingIceCream,student49,"[(10, 5), (5, 10)]",False,2,True,False,False,2,2,1,"[{1, 2, 4, 5, 6}, {1, 2, 4, 5, 6}]","[[0], ['m2']]",False,[],False,False,False,False,False,False,True,False,True,False
104,readingIceCream,student70,"[(3, 3)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5, 6, 7}]",[['a5']],True,['m5'],False,True,False,False,False,False,False,True,False,True
105,readingIceCream,student78,"[(5, 9), (9, 5)]",False,2,True,False,False,2,0,0,"[{1, 2}, {1, 2, 4, 5, 6, 7}]","[['d4', 'd5', 'd6', 'd7'], ['a4', 'a5', 'a6', 'a7']]",False,[],False,False,False,False,False,False,False,True,True,False
107,set_chars,student20,"[(9, 9)]",True,1,True,False,False,1,1,1,"[{2, 3}]",[[0]],True,['a5'],False,False,True,False,False,True,True,False,True,False
109,set_chars,student38,"[(1, 1), (1, 1)]",False,2,True,False,False,2,2,1,"[{2}, {2}]","[['m2'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
112,set_chars,student57,"[(5, 4), (4, 5)]",True,2,True,False,False,2,2,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['m4'], ['l4']]",True,['a5'],False,False,True,False,False,False,True,False,True,False
114,find_multiples,student11,"[(4, 4), (4, 4)]",False,2,True,False,False,2,2,2,"[set(), set()]","[[0], [0]]",True,[0],True,False,False,False,False,True,True,False,True,False
115,find_multiples,student13,"[(4, 4)]",True,1,True,False,False,1,1,1,[{1}],[[0]],True,['a2'],False,False,True,False,False,True,True,False,True,False
116,find_multiples,student16,"[(5, 5)]",False,1,True,False,False,1,1,1,[{2}],[[0]],False,[],False,False,False,False,False,True,True,False,True,False
117,find_multiples,student2,"[(6, 6)]",False,1,True,False,False,1,1,1,[set()],[[0]],False,[],False,False,False,False,False,True,True,False,True,False
120,find_multiples,student61,"[(4, 4)]",True,1,True,False,False,1,1,1,[{1}],[[0]],True,['a2'],False,False,True,False,False,True,True,False,True,False
128,print_time,student54,"[(10, 10)]",True,1,True,False,False,1,1,0,"[{2, 3, 4}]",[['m3']],True,"['m2', 'm3', 'a5']",False,False,True,False,False,False,True,False,True,False
129,remove_odd,student0,"[(2, 4), (4, 2)]",True,2,True,False,False,1,0,0,"[{1, 2, 4}, {1, 2, 3, 4}]","[['d3'], ['a3']]",True,['m3'],False,True,False,False,False,False,False,True,False,True
130,remove_odd,student10,"[(2, 2), (2, 2)]",False,2,True,False,False,2,2,0,"[{2, 3, 4}, {2, 3, 4}]","[['l3'], ['l3']]",False,[],False,False,False,False,False,False,True,False,True,False
131,remove_odd,student17,"[(2, 4), (4, 2)]",False,2,True,False,False,2,1,1,"[set(), {1, 2}]","[[0], ['a1', 'a2']]",False,[],False,False,False,False,False,False,False,True,True,False
133,remove_odd,student21,"[(2, 5), (5, 2), (2, 5)]",False,3,True,False,False,3,3,0,"[{2, 3}, {2, 3}, {2, 3}]","[['m2', 'm3'], ['l2', 'l3'], ['m2', 'm3']]",False,[],False,False,False,False,False,False,True,False,True,False
134,remove_odd,student25,"[(4, 4)]",False,1,True,False,False,0,1,1,"[{1, 2, 3, 4}]",[[0]],False,[],False,False,False,False,False,True,True,False,False,True
135,remove_odd,student26,"[(0, 2), (2, 0)]",False,2,True,False,False,2,2,1,"[{2}, {2}]","[[0], ['m2']]",False,[],False,False,False,False,False,False,True,False,True,False
136,remove_odd,student3,"[(2, 4), (4, 2)]",False,2,True,False,False,2,2,0,"[{2, 3}, {2, 3}]","[['l3'], ['m3']]",False,[],False,False,False,False,False,False,True,False,True,False
137,remove_odd,student4,"[(4, 4), (4, 4), (4, 4), (4, 4)]",False,4,True,True,False,4,4,4,"[{2, 3, 4}, {2, 3, 4}, {2, 3, 4}, {2, 3, 4}]","[[0], [0], [0], [0]]",True,[0],True,False,False,False,False,True,True,False,True,False
138,remove_odd,student41,"[(1, 1), (1, 1)]",False,2,True,False,False,0,2,1,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[[0], ['m3']]",False,[],False,False,False,False,False,False,True,False,False,True
139,remove_odd,student48,"[(2, 2)]",False,1,True,False,False,1,0,0,"[{2, 3}]",[['a3']],False,[],False,False,False,False,False,False,False,True,True,False
140,remove_odd,student51,"[(4, 4), (4, 4)]",False,2,True,False,False,2,2,2,"[{2, 3, 4}, {2, 3, 4}]","[[0], [0]]",True,['m3'],False,True,False,False,False,True,True,False,True,False
142,subtract_add,student29,"[(11, 11)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5}]",[['a4']],True,[0],True,False,False,False,False,False,False,True,False,True
145,subtract_add,student62,"[(11, 11), (11, 11)]",False,2,True,False,False,2,2,1,"[{2, 3, 5}, {2, 3, 5}]","[[0], ['m3']]",True,['a4'],False,False,True,False,False,False,True,False,True,False
146,subtract_add,student66,"[(13, 13)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5}]",[['a2']],True,[0],True,False,False,False,False,False,False,True,False,True
150,findHorizontals,student32,"[(11, 11)]",False,1,True,False,False,1,1,1,"[{2, 3, 4, 5}]",[[0]],False,[],False,False,False,False,False,True,True,False,True,False
155,findHorizontals,student70,"[(1, 0), (0, 1)]",False,2,True,False,False,2,0,0,"[{2, 3, 4}, {2, 3, 4, 5}]","[['d5'], ['a5']]",True,[0],True,False,False,False,False,False,False,True,True,False
157,altText,student23,"[(5, 5), (5, 5)]",True,2,True,False,False,1,1,0,"[{1, 2, 4}, {1, 2, 3, 4}]","[['m2'], ['l2', 'a3']]",True,['m2'],False,True,False,False,False,False,False,True,False,True
158,altText,student35,"[(5, 5)]",True,1,True,False,False,0,1,0,"[{1, 2, 3, 4}]",[['m2']],True,['m2'],False,True,False,False,False,False,True,False,False,True
160,altText,student59,"[(11, 11), (11, 11)]",False,2,True,False,False,2,2,2,"[{1, 3}, {1, 3}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
164,combine,student20,"[(5, 1), (1, 5)]",True,2,True,False,False,2,0,0,"[{1, 2}, {1}]","[['a2'], ['d2']]",True,['a2'],False,False,True,False,False,False,False,True,True,False
167,combine,student54,"[(5, 5)]",True,1,True,False,False,1,0,0,"[{1, 3}]",[['a3']],True,"['m1', 'a2']",False,False,True,False,False,False,False,True,True,False
168,topScores,student14,"[(41, 41), (41, 41)]",False,2,True,False,False,2,1,1,"[{2}, {2}]","[['d3'], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
169,topScores,student15,"[(5, 1), (1, 15), (15, 5)]",False,3,True,False,False,3,3,1,"[{1, 2, 3, 4}, {1, 2, 3, 4}, {1, 2, 3, 4}]","[[0], ['l3'], ['m2']]",False,[],False,False,False,False,False,False,True,False,True,False
173,topScores,student53,"[(10, 10)]",True,1,True,False,False,0,1,1,"[{1, 2, 3, 4, 5, 6}]",[[0]],True,"['l1', 'l4']",False,False,False,True,False,True,True,False,False,True
176,topScores,student7,"[(22, 43), (43, 18), (18, 12), (12, 20), (20, 17), (17, 22)]",False,6,True,True,False,6,4,4,"[{1, 3, 4}, {1, 3, 4}, {1, 3, 4}, {1, 3, 4, 5}, {1, 3, 4, 5}, {1, 3, 4, 5}]","[[0], [0], ['a4'], ['a5'], [0], [0]]",True,[0],True,False,False,False,False,False,False,True,True,False
177,topScores,student9,"[(30, 8), (8, 39), (39, 17), (17, 30)]",False,4,True,True,False,4,3,3,"[{2, 4}, {4}, {4}, {4}]","[[0], ['d2'], [0], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
178,sort_physicists,student12,"[(2, 2), (2, 2)]",True,2,True,False,False,2,2,0,"[{1, 3, 4, 5, 6}, {1, 3, 4, 5, 6}]","[['m5'], ['m1']]",True,['m5'],False,True,False,False,False,False,True,False,True,False
181,sort_physicists,student38,"[(2, 2)]",False,1,True,False,False,1,1,1,[{1}],[[0]],False,[],False,False,False,False,False,True,True,False,True,False
184,sort_physicists,student57,"[(0, 0)]",True,1,True,False,False,1,0,0,"[{1, 3, 4, 5, 6}]","[['a4', 'a6']]",True,[0],True,False,False,False,False,False,False,True,True,False
185,sort_physicists,student77,"[(0, 6), (6, 0)]",True,2,True,False,False,0,1,0,"[{1, 2, 3, 4, 5, 6}, {1, 2, 3, 4, 5, 6}]","[['a4'], ['m5']]",True,['m4'],False,True,False,False,False,False,False,True,False,True
186,reverseWords,student1,"[(5, 5)]",True,1,True,False,False,1,1,0,"[{1, 2, 3, 4}]",[['l2']],True,['m2'],False,True,False,False,False,False,True,False,True,False
190,reverseWords,student58,"[(1, 1), (1, 1), (1, 1)]",False,3,True,False,False,3,3,1,"[{2, 5}, {2, 5}, {2, 5}]","[['m2'], ['m5'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
193,planets_mass,student14,"[(7, 7)]",True,1,True,False,False,1,0,0,"[{3, 6}]",[['a6']],True,['m3'],False,True,False,False,False,False,False,True,True,False
194,planets_mass,student24,"[(16, 5), (5, 16)]",False,2,True,False,False,2,2,0,"[{4, 5, 6}, {4, 5, 6}]","[['m4'], ['m4']]",False,[],False,False,False,False,False,False,True,False,True,False
195,planets_mass,student46,"[(16, 16)]",True,1,True,False,False,0,1,1,"[{1, 2, 3, 4, 5, 6}]",[[0]],True,['l1'],False,False,False,True,False,True,True,False,False,True
196,planets_mass,student47,"[(10, 10)]",False,1,True,False,False,1,1,0,"[{2, 3, 5}]",[['m5']],True,"['m2', 'm3']",False,True,False,False,False,False,True,False,True,False
198,planets_mass,student55,"[(16, 15), (15, 16)]",True,2,True,False,False,1,0,0,"[{1, 4, 5, 6}, {1, 2, 3, 4, 5, 6}]","[['l1', 'd2', 'd3'], ['a2', 'a3', 'm1']]",True,"['m2', 'm3']",False,True,False,False,False,False,False,True,False,True
200,planets_mass,student65,"[(15, 15), (15, 15)]",False,2,True,False,False,1,0,0,"[{4, 5, 6}, {1, 2, 3, 4, 5, 6}]","[['d1'], ['a1', 'a2', 'a3', 'm4']]",True,['m4'],False,True,False,False,False,False,False,True,False,True
203,increaseScore,student35,"[(5, 5)]",False,1,True,False,False,1,1,0,"[{1, 2, 3, 4}]",[['m3']],False,[],False,False,False,False,False,False,True,False,True,False
207,add_up,student1,"[(3, 0), (0, 3)]",False,2,True,False,False,2,2,2,"[{2, 3, 4}, {2, 3, 4}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
208,add_up,student14,"[(3, 3), (3, 3)]",False,2,True,False,False,2,1,1,"[{4, 5, 6}, {4, 5, 6}]","[['a5'], [0]]",True,['d6'],False,False,False,False,True,False,False,True,True,False
209,add_up,student15,"[(3, 3), (3, 3)]",False,2,True,False,False,2,2,1,"[{2, 3, 4, 5}, {2, 3, 4, 5}]","[['m3'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
211,add_up,student31,"[(11, 11)]",False,1,True,False,False,1,1,0,"[{1, 3, 4}]",[['m1']],True,['m4'],False,True,False,False,False,False,True,False,True,False
212,add_up,student45,"[(3, 3), (3, 3)]",False,2,True,False,False,2,2,1,"[{2, 3, 4}, {2, 3, 4}]","[['m2', 'm3'], [0]]",False,[],False,False,False,False,False,False,True,False,True,False
213,add_up,student46,"[(3, 3), (3, 3), (3, 3), (3, 3)]",False,4,True,True,False,4,3,3,"[{2, 3, 4}, {2, 3, 4}, {2, 3, 4}, {2, 3, 4}]","[['a3'], [0], [0], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
214,add_up,student47,"[(3, 12), (12, 3)]",False,2,True,False,False,2,2,2,"[{3, 4}, {3, 4}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
216,add_up,student58,"[(7, 0), (0, 7)]",False,2,True,False,False,2,0,0,"[{2, 4}, {2, 3, 4}]","[['d3'], ['a3']]",True,['d3'],False,False,False,False,True,False,False,True,True,False
217,add_up,student6,"[(3, 3)]",False,1,True,False,False,1,0,0,"[{2, 4, 5}]","[['m4', 'm2', 'a5']]",True,['a6'],False,False,True,False,False,False,False,True,True,False
218,add_up,student65,"[(3, 7), (7, 3)]",False,2,True,False,False,2,2,1,"[{2, 3, 4, 5}, {2, 3, 4, 5}]","[['m4'], [0]]",True,['a1'],False,False,True,False,False,False,True,False,True,False
219,add_up,student7,"[(3, 3), (3, 3), (3, 3)]",True,3,True,False,False,3,3,3,"[{2, 3, 4, 5}, {2, 3, 4, 5}, {2, 3, 4, 5}]","[[0], [0], [0]]",True,"['d3', 'd2', 'd4', 'd5']",False,False,False,False,True,True,True,False,True,False
220,add_up,student9,"[(7, 3), (3, 7)]",False,2,True,False,False,2,1,1,"[{4, 6}, {4}]","[[0], ['d6']]",False,[],False,False,False,False,False,False,False,True,True,False
221,check_prime,student29,"[(2, 2)]",True,1,True,False,False,1,0,0,"[{1, 2, 3}]",[['a1']],True,[0],True,False,False,False,False,False,False,True,True,False
223,check_prime,student34,"[(2, 2)]",False,1,True,False,False,1,1,0,"[{2, 3}]",[['l3']],False,[],False,False,False,False,False,False,True,False,True,False
224,check_prime,student49,"[(2, 2)]",True,1,True,False,False,1,0,0,"[{1, 2, 3}]",[['a1']],True,['m1'],False,True,False,False,False,False,False,True,True,False
225,check_prime,student66,"[(3, 3), (3, 3)]",True,2,True,False,False,2,1,0,"[{1, 2, 3}, {1, 2, 3}]","[['a1'], ['m1']]",True,['m1'],False,True,False,False,False,False,False,True,True,False
227,check_prime,student68,"[(2, 1), (1, 2)]",False,2,True,False,False,2,2,2,"[{1, 2, 3}, {1, 2, 3}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
228,check_prime,student70,"[(4, 4)]",True,1,True,False,False,1,0,0,"[{1, 3}]",[['a1']],True,['m1'],False,True,False,False,False,False,False,True,True,False
230,sortedBooks,student29,"[(6, 12), (12, 6)]",True,2,True,False,False,2,2,2,"[{2, 3, 6}, {2, 3, 6}]","[[0], [0]]",True,[0],True,False,False,False,False,True,True,False,True,False
231,sortedBooks,student32,"[(2, 2)]",False,1,True,False,False,1,1,1,"[{4, 5, 6}]",[[0]],False,[],False,False,False,False,False,True,True,False,True,False
233,sortedBooks,student62,"[(11, 11)]",False,1,True,False,False,1,1,0,"[{2, 3}]",[['m3']],False,[],False,False,False,False,False,False,True,False,True,False
234,sortedBooks,student66,"[(8, 8)]",False,1,True,False,False,1,1,0,"[{4, 5}]",[['m5']],False,[],False,False,False,False,False,False,True,False,True,False
235,sortedBooks,student67,"[(4, 13), (13, 4)]",False,2,True,False,False,2,2,2,"[{2, 3, 6}, {2, 3, 6}]","[[0], [0]]",True,['l6'],False,False,False,True,False,True,True,False,True,False
236,sortedBooks,student68,"[(11, 11)]",True,1,True,False,False,1,1,0,"[{1, 2, 3, 6}]",[['m6']],True,"['a4', 'a5']",False,False,True,False,False,False,True,False,True,False
237,sortedBooks,student70,"[(11, 9), (9, 11)]",True,2,True,False,False,2,1,0,"[{1, 2, 3, 6}, {1, 2, 3, 6}]","[['a1'], ['m1']]",True,"['a4', 'a5']",False,False,True,False,False,False,False,True,True,False
238,sortedBooks,student78,"[(3, 3), (3, 3)]",False,2,True,False,False,2,2,2,"[{1, 2, 3, 6}, {1, 2, 3, 6}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
240,percentWin,student10,"[(14, 14)]",False,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5, 6}]",[['a4']],False,[],False,False,False,False,False,False,False,True,False,True
241,percentWin,student17,"[(11, 11)]",True,1,True,False,False,1,1,0,"[{2, 3}]",[['m3']],True,['m3'],False,True,False,False,False,False,True,False,True,False
245,percentWin,student26,"[(9, 11), (11, 9)]",False,2,True,False,False,2,1,1,"[{2, 3}, {2, 3, 5}]","[[0], ['a5']]",True,[0],True,False,False,False,False,False,False,True,True,False
248,percentWin,student4,"[(14, 14)]",True,1,True,False,False,1,1,0,"[{2, 3, 4, 5, 6}]",[['m4']],True,['m4'],False,True,False,False,False,False,True,False,True,False
249,percentWin,student41,"[(0, 0), (0, 0)]",False,2,True,False,False,2,1,1,"[{1, 2, 3, 5}, {1, 2, 3, 5}]","[['a5'], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
