,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
240,percentWin,"[1, 2, 3, 4, 5, 6]",student3,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
243,percentWin,"[1, 2, 3, 4, 5, 6]",student17,success,"[2, 3, 4, 5]",False,False,False,False,False,False,True,True,False
246,percentWin,"[1, 2, 3, 4, 5, 6]",student25,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
253,changeSection,"[1, 2, 3, 4]",student10,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
255,changeSection,"[1, 2, 3, 4]",student18,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
256,changeSection,"[1, 2, 3, 4]",student21,success,"[1, 2, 3, 4]",True,True,False,False,True,False,False,True,False
257,changeSection,"[1, 2, 3, 4]",student25,success,"[1, 2, 3]",True,True,False,False,False,False,True,True,False
262,assessVowels,"[1, 2, 3, 4]",student5,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
263,assessVowels,"[1, 2, 3, 4]",student13,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
264,assessVowels,"[1, 2, 3, 4]",student16,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
266,assessVowels,"[1, 2, 3, 4]",student37,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
268,assessVowels,"[1, 2, 3, 4]",student74,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
271,add_int,"[1, 2, 3, 4]",student38,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
276,create_list,"[1, 2, 3, 4, 5]",student36,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
279,create_list,"[1, 2, 3, 4, 5]",student54,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
280,create_list,"[1, 2, 3, 4, 5]",student57,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
288,getSeason,"[1, 2, 3, 4]",student47,success,"[2, 3, 4, 1]",True,False,False,True,True,False,False,True,False
